id,name,information,correct_user,submission_cnt,correct_rate
1222,홍준 프로그래밍 대회,"출처,다국어,분류",265,1776,20.883
1223,마법의 돌,"출처,다국어",2,26,12.5
1224,분수,,3,33,15.789
1225,이상한 곱셈,"출처,다국어,분류",2162,6935,37.91
1226,국회,"스페셜 저지,출처,다국어,분류",96,400,32.765
1227,그녀의 마음,"출처,다국어,분류",15,52,40.541
1228,전쟁,"출처,다국어",4,19,23.529
1229,빅뱅의 여섯 번째 멤버,,46,136,63.014
1230,문자열 거리,분류,59,420,27.7
1231,주식왕 동호,"출처,다국어",42,369,25.61
1232,체스,,2,48,22.222
1233,주사위,"출처,다국어,분류",832,1674,56.178
1234,크리스마스 트리,분류,401,1261,42.122
1235,학생 번호,분류,334,790,55.853
1236,성 지키기,분류,1627,5639,36.719
1237,정ㅋ벅ㅋ,번외,11237,41651,31.728
1238,파티,"출처,다국어,분류",5169,16890,45.003
1239,차트,분류,151,445,40.811
1240,노드사이의 거리,분류,367,890,51.983
1241,머리 톡톡,분류,89,521,32.841
1242,소풍,분류,236,1156,30.971
1243,팰린드롬,"출처,분류",49,207,44.144
1244,스위치 켜고 끄기,"출처,분류",2001,12319,20.492
1245,농장 관리,"출처,다국어,분류",110,365,42.471
1246,온라인 판매,"출처,다국어,분류",552,1319,48.294
1247,부호,분류,655,2784,35.253
1248,맞춰봐,"스페셜 저지,출처,다국어,분류",1091,4632,34.778
1249,워드똑똑,,14,47,38.889
1250,색칠된 공들,분류,6,855,1.681
1251,단어 나누기,분류,818,2660,44.05
1252,이진수 덧셈,분류,1498,6111,29.407
1253,좋다,분류,474,3163,21.39
1254,팰린드롬 만들기,분류,1457,4612,40.915
1255,전쟁 - 선전포고,분류,18,122,26.087
1256,사전,분류,2033,10285,28.01
1257,엄청난 부자,분류,37,325,30.081
1258,문제 할당,분류,53,199,49.533
1259,팰린드롬수,"출처,다국어,분류",4599,8203,63.269
1260,DFS와 BFS,분류,25466,124799,33.672
1261,알고스팟,분류,5499,20741,40.045
1262,알파벳 다이아몬드,"출처,다국어",51,185,41.129
1263,시간 관리,분류,195,481,53.134
1264,모음의 개수,"출처,다국어,분류",1424,2603,63.009
1265,순열,분류,30,122,31.915
1266,일어나!,분류,10,1398,2.463
1267,핸드폰 요금,분류,2445,6869,40.089
1268,임시 반장 정하기,"출처,분류",940,3482,34.269
1269,대칭 차집합,분류,1540,3950,52.452
1270,전쟁 - 땅따먹기,,91,595,22.414
1271,엄청난 부자2,분류,2543,11910,33.155
1272,특별 노드,,14,21,70.0
1273,샷,"출처,다국어,분류",54,402,27.835
1274,커피숍1,,10,1094,4.367
1275,커피숍2,분류,1872,9150,27.285
1276,PLATFORME,"출처,다국어,분류",121,337,43.06
1277,발전소 설치,"출처,다국어,분류",39,200,25.49
1278,연극,"스페셜 저지,분류",13,32,92.857
1279,내멋대로 주사위,,9,35,37.5
1280,나무 심기,분류,732,6974,16.032
1281,보석상,분류,11,62,55.0
1282,P-수열,,20,81,34.483
1283,단축키 지정,"출처,다국어,분류",163,690,32.665
1284,집 주소,"출처,다국어,분류",876,1220,79.276
1285,동전 뒤집기,분류,531,1874,50.189
1286,부분 직사각형,,17,30,60.714
1287,할 수 있다,분류,57,1204,13.702
1288,전쟁 - 국지전,,5,11,45.455
1289,트리의 가중치,"출처,다국어,분류",504,2219,31.959
1290,배럭,분류,18,251,21.687
1291,이면수와 임현수,분류,84,370,25.0
1292,쉽게 푸는 문제,분류,4555,9261,57.651
1293,생물농축,분류,12,61,37.5
1294,문자열 장식,분류,81,1001,11.345
1295,평면도,출처,3,65,7.143
1296,데이트,분류,538,1728,38.901
1297,TV 크기,분류,2432,5149,54.08
1298,노트북의 주인을 찾아서,분류,1108,3436,45.634
1299,전쟁 - 탈출편2,,3,93,9.091
1300,K번째 수,분류,3485,13386,38.05
1301,비즈 공예,분류,186,1023,28.615
1302,베스트셀러,분류,2542,6834,46.328
1303,전쟁 - 전투,분류,708,2089,39.664
1304,지역,,37,183,26.429
1305,광고,분류,1314,3357,51.998
1306,달려라 홍준,분류,346,1047,44.473
1307,마방진,"스페셜 저지,분류",50,333,35.211
1308,D-Day,분류,124,838,22.545
1309,동물원,분류,5702,14180,49.168
1310,달리기 코스,분류,79,400,32.51
1311,할 일 정하기 1,분류,95,351,50.265
1312,소수,분류,764,2400,43.807
1314,동굴 탐험,분류,14,144,10.526
1315,RPG,분류,427,3150,21.741
1316,그룹 단어 체커,분류,21685,49239,52.359
1317,그룹 단어,,13,173,15.294
1318,포커,분류,28,163,28.571
1319,지민 vs 한수,,6,30,22.222
1321,군인,분류,383,1106,50.461
1322,X와 K,분류,376,1295,39.289
1323,숫자 연결하기,분류,98,679,27.374
1324,젠장,분류,34,243,25.185
1325,효율적인 해킹,분류,3353,27651,20.6
1326,폴짝폴짝,,194,1228,26.252
1327,소트 게임,분류,366,1564,31.443
1328,고층 빌딩,분류,1508,6274,31.568
1329,증가 수열,"출처,다국어",6,65,13.333
1330,두 수 비교하기,"디버그,분류",49771,115547,51.905
1331,나이트 투어,,857,3743,27.539
1332,풀자,분류,23,181,18.852
1333,부재중 전화,분류,447,2300,26.079
1334,다음 팰린드롬 수,분류,165,1481,20.32
1335,여섯 쌍 서로소,분류,4,33,14.286
1336,수열의 개수 NKD,분류,7,39,26.923
1337,올바른 배열,분류,405,1504,36.919
1338,알 수 없는 번호,분류,16,1002,6.723
1339,단어 수학,분류,3897,12366,42.777
1340,연도 진행바,"스페셜 저지,분류",127,415,40.705
1341,사이좋은 형제,분류,67,518,20.12
1342,행운의 문자열,분류,750,2425,42.906
1343,폴리오미노,분류,985,2442,48.835
1344,축구,"스페셜 저지,분류",596,1421,55.91
1345,등차수열,"스페셜 저지,분류",27,374,11.489
1346,탑을 향해서,분류,9,67,33.333
1347,미로 만들기,,587,1396,50.214
1348,주차장,분류,338,2276,22.208
1349,건축가의 나라,,3,6,50.0
1350,진짜 공간,분류,1485,5421,31.84
1351,무한 수열,분류,1198,3979,37.508
1352,문자열,분류,72,546,30.638
1353,합과 곱,분류,84,541,22.764
1354,무한 수열 2,분류,182,683,39.651
1355,구멍난 케이크 자르기,,23,210,14.465
1356,유진수,분류,1133,3147,42.213
1357,뒤집힌 덧셈,분류,3787,9828,44.727
1358,하키,,221,410,59.569
1359,복권,"스페셜 저지,분류",178,807,36.929
1360,되돌리기,분류,113,487,34.769
1361,두 스트링 마스크,,7,72,53.846
1362,펫,"출처,다국어,분류",135,623,28.008
1363,트리,,4,14,50.0
1364,울타리 치기,분류,20,125,31.25
1365,꼬인 전깃줄,분류,1284,3098,54.592
1366,기타 코드,,3,66,30.0
1367,타브 악보,,4,21,20.0
1368,물대기,"출처,다국어,분류",137,473,38.268
1369,배열값,분류,39,218,37.5
1370,전쟁 - 화계가 아닌 수계,,3,31,17.647
1371,가장 많은 글자,분류,1784,5608,39.338
1372,단어 합치기,,32,305,12.549
1373,2진수 8진수,분류,4929,16696,38.595
1374,강의실,분류,226,820,39.789
1375,나이,분류,13,239,14.13
1376,민식우선탐색,분류,61,1028,10.893
1377,버블 소트,분류,1566,7327,31.927
1378,증가 수열,,3,125,5.455
1379,강의실 2,스페셜 저지,54,226,29.67
1380,귀걸이,"출처,다국어,분류",154,407,48.58
1381,요구르트의 유통기한,분류,26,279,13.198
1384,메시지,"출처,다국어",87,197,49.714
1385,벌집,"스페셜 저지,분류",13,46,38.235
1386,f와 g,분류,1,16,100.0
1387,배열 교환,,8,57,33.333
1388,바닥 장식,,330,662,56.897
1389,케빈 베이컨의 6단계 법칙,분류,6087,14577,54.372
1390,테트리스,분류,47,148,51.087
1391,종이접기,,14,129,37.838
1392,노래 악보,"출처,다국어,분류",511,781,73.314
1393,음하철도 구구팔,분류,106,644,29.444
1394,암호,,42,275,27.815
1395,스위치,"출처,다국어,분류",1193,4268,41.699
1396,크루스칼의 공,분류,273,1481,32.308
1397,인화철도 구구칠,,5,167,5.376
1398,동전 문제,분류,369,2428,23.091
1399,보물의 위치,분류,48,371,22.642
1400,화물차,"출처,다국어,분류",99,645,25.063
1401,요컨대 형택이의 사탕봉지,,5,10,62.5
1402,아무래도이문제는A번난이도인것같다,분류,762,2087,47.536
1404,토너먼트 승자,"스페셜 저지,분류",39,88,58.209
1405,미친 로봇,"스페셜 저지,분류",1653,6529,33.199
1406,에디터,"출처,다국어,분류",7942,43492,27.232
1407,2로 몇 번 나누어질까,"출처,다국어,분류",239,972,44.424
1408,24,분류,1740,4294,46.787
1409,점 칠하기,분류,16,86,25.0
1410,패턴의 개수,분류,54,265,34.839
1411,비슷한 단어,분류,195,496,51.862
1412,일방통행,분류,107,318,41.634
1413,박스 안의 열쇠,분류,252,894,38.591
1414,불우이웃돕기,분류,122,501,28.979
1415,사탕,분류,238,2691,13.773
1416,팬 서비스,분류,49,155,37.405
1417,국회의원 선거,분류,362,1413,30.344
1418,K-세준수,분류,177,542,44.03
1419,등차수열의 합,분류,42,290,20.896
1420,학교 가지마!,분류,426,2576,22.793
1421,나무꾼 이다솜,분류,200,949,26.042
1422,숫자의 신,분류,292,2062,19.986
1423,원숭이 키우기,,32,174,24.615
1424,새 앨범,분류,83,653,20.097
1425,원숭이 땅을 옮기다,분류,27,165,21.951
1426,카드 넣기,분류,10,81,28.571
1427,소트인사이드,분류,17183,33661,60.872
1428,다각형의 개수,,7,69,15.909
1429,결혼,,7,65,31.818
1430,공격,분류,51,238,38.346
1431,시리얼 번호,분류,2573,5948,53.772
1432,그래프 수정,,64,376,21.769
1433,화학 실험,스페셜 저지,7,62,24.138
1434,책 정리,분류,175,388,54.517
1435,네 점,,9,157,11.392
1436,영화감독 숌,"디버그,분류",10825,29922,44.545
1437,수 분해,분류,140,629,28.926
1438,가장 작은 직사각형,,40,290,26.667
1439,뒤집기,분류,2579,6513,50.648
1440,타임머신,분류,127,387,40.968
1441,나누어 질까,분류,48,241,29.448
1442,멋진 수,분류,25,158,43.103
1443,망가진 계산기,분류,84,436,26.168
1444,숌 언어,분류,41,256,29.496
1445,일요일 아침의 데이트,분류,344,2182,21.581
1446,지름길,분류,469,1492,40.925
1447,보호 천막,,2,8,25.0
1448,삼각형 만들기,분류,499,1682,44.673
1449,수리공 항승,분류,2629,7914,38.862
1450,냅색문제,분류,408,2092,30.471
1451,직사각형으로 나누기,분류,601,2194,37.053
1452,숌 크로스워드,,2,7,66.667
1453,피시방 알바,분류,2826,5214,63.363
1454,세비 게임,,4,59,17.391
1455,뒤집기 II,분류,57,92,77.027
1456,거의 소수,분류,570,3627,21.873
1457,정확해,,21,76,39.623
1458,종이 겹치기,,3,14,100.0
1459,걷기,분류,389,2449,20.993
1460,진욱이의 농장,,21,61,45.652
1461,도서관,분류,781,2534,39.604
1462,퀴즈쇼,분류,51,232,29.143
1463,1로 만들기,"디버그,분류",28446,143219,31.852
1464,뒤집기 3,분류,90,436,32.609
1465,배열 고치기,,6,87,85.714
1466,그림 고치기,,6,15,42.857
1467,수 지우기,분류,59,792,21.377
1468,네트워크,,6,40,50.0
1469,숌 사이 수열,분류,39,197,29.771
1470,올림픽 게임,,13,133,13.978
1471,사탕 돌리기,분류,59,208,49.58
